Date,         time,  Actual_kW,   Pred_RF_kW,       Pred_GB_kW
2025-01-22 17:00:00,0.0259,0.0311106666666666,0.0330726052551899,
2025-01-31 17:00:00,0.2163,0.2733553333333333,0.2484632434770123,
2025-01-31 20:00:00,0.0191,0.0211333333333333,0.0217395552388725,
2025-01-28 12:00:00,0.1707,0.1536833333333332,0.154604068002374,
2025-01-18 03:00:00,0.3757,0.3585939999999999,0.3617084872391983,
2025-01-29 06:00:00,0.1411,0.1366873333333332,0.1395535005778423,
2025-01-27 02:00:00,0.0967,0.1119913333333333,0.0981177444600992,
2025-01-22 09:00:00,0.1215,0.1124046666666666,0.1139406259015991,
2025-02-05 19:00:00,0.5067,0.4699786666666666,0.4803121733019618,
2025-01-06 16:00:00,0.267,0.2633933333333335,0.284415429313833,
2025-02-03 19:00:00,0.1747,0.176814,0.1678140940759089,
2025-01-04 04:00:00,0.1032,0.1043840000000001,0.0975979379601718,
2025-01-27 12:00:00,0.1278,0.1243859999999998,0.1232551865593579,
2025-02-10 13:00:00,0.0923,0.0915693333333332,0.0912263225117489,
2025-02-09 02:00:00,0.1591,0.1535100000000001,0.1553887697984537,
2025-02-07 11:00:00,0.0774,0.0690986666666666,0.0836072786384996,
2025-01-12 16:00:00,0.0852,0.0855226666666666,0.0852474253103957,
2025-02-06 19:00:00,0.3847,0.3848993333333331,0.3783102716141313,
2025-02-01 17:00:00,0.3797,0.381243333333333,0.3761843471934171,
2025-01-14 07:00:00,0.0499,0.044634,0.0418449415264956,
2025-01-23 21:00:00,0.1326,0.1284486666666667,0.1376989396256415,
2025-01-08 06:00:00,0.052,0.0641439999999999,0.0653239148228759,
2025-01-16 11:00:00,0.395,0.3599666666666668,0.3498151563962697,
2025-01-22 23:00:00,0.074,0.0764533333333333,0.0724622781007895,
2025-01-09 18:00:00,0.1081,0.1159466666666666,0.1055879694983482,
2025-01-10 19:00:00,0.0254,0.026126,0.0273573663409277,
2025-01-05 05:00:00,0.286,0.3127173333333333,0.3093595834788834,
2025-02-11 02:00:00,0.0731,0.0833546666666667,0.0759898024333582,
2025-02-07 14:00:00,0.1517,0.1461833333333333,0.1450670759743966,
2025-02-09 11:00:00,0.0501,0.0500446666666666,0.0618500943114218,
2025-01-15 10:00:00,0.4769,0.4355046666666673,0.4117739007409368,
2025-01-06 19:00:00,0.059,0.0602033333333333,0.0637192877446733,
2025-01-26 21:00:00,0.237,0.2397540000000001,0.2377074528332734,
2025-01-21 19:00:00,0.1897,0.1813913333333333,0.1758990868469095,
2025-01-16 10:00:00,0.0513,0.0569099999999999,0.0502650448410773,
2025-01-09 06:00:00,0.1114,0.1147613333333333,0.1020338364883466,
2025-01-29 15:00:00,0.1901,0.1830406666666667,0.1869386031818882,
2025-01-25 08:00:00,0.0793,0.0820346666666667,0.0782927710475354,
2025-02-07 13:00:00,0.0563,0.056892,0.0561299695963638,
2025-01-03 11:00:00,0.0387,0.0399593333333333,0.0320879510274346,
2025-01-14 16:00:00,0.272,0.2720853333333332,0.2824884198548619,
2025-01-05 00:00:00,0.3138,0.3302706666666665,0.3209908620862043,
2025-01-14 00:00:00,0.5875,0.5147113333333334,0.500964883694649,
2025-02-10 14:00:00,0.014,0.0189959999999999,0.0124827600412667,
2025-01-13 11:00:00,0.2101,0.2056220000000001,0.2067233792748462,
2025-01-12 13:00:00,0.1943,0.1914113333333331,0.179658249586093,
2025-02-08 12:00:00,0.1062,0.1066106666666667,0.1023930358616932,
2025-01-26 01:00:00,0.4891,0.5049646666666664,0.4943388945140591,
2025-01-19 07:00:00,0.2826,0.313368,0.3012585554114555,
2025-02-04 21:00:00,0.2423,0.2484393333333332,0.240875516250604,
2025-01-24 18:00:00,0.2969,0.2730119999999997,0.2672061859449036,
2025-02-06 15:00:00,0.076,0.084456,0.0732708307028508,
2025-01-11 21:00:00,0.177,0.1743633333333333,0.1649036582069795,
2025-01-25 02:00:00,0.0477,0.0540246666666666,0.0532566851300069,
2025-01-01 23:00:00,0.1838,0.1932033333333333,0.1978886203644263,
2025-01-02 06:00:00,0.1426,0.1362559999999999,0.1408885369444841,
2025-01-26 17:00:00,0.0659,0.0724966666666666,0.0699810579947287,
2025-01-01 10:00:00,0.0717,0.0748673333333333,0.0739481566618045,
2025-01-10 05:00:00,0.0808,0.095492,0.083110876350828,
2025-02-04 04:00:00,0.1394,0.1374940000000001,0.1388202812352139,
2025-01-13 08:00:00,0.0814,0.080314,0.0858534658774328,
2025-01-03 06:00:00,0.3549,0.3555986666666669,0.3581338412041613,
2025-01-23 14:00:00,0.0243,0.0254019999999999,0.0225488399987864,
2025-01-09 17:00:00,0.1018,0.1012740000000001,0.1039763603419454,
2025-01-26 04:00:00,0.0607,0.0615653333333333,0.0734017667770718,
2025-01-29 20:00:00,0.4818,0.5054139999999997,0.4811552936948177,
2025-01-28 14:00:00,0.0561,0.0612813333333333,0.0599825703913751,
2025-02-06 02:00:00,0.2671,0.2619153333333329,0.2686425087149244,
2025-01-03 22:00:00,0.0459,0.0537706666666666,0.0421347696580168,
2025-01-23 15:00:00,0.3971,0.3713700000000003,0.3615990235824701,
2025-01-05 11:00:00,0.2111,0.2306919999999998,0.220270646851016,
2025-01-21 13:00:00,0.0682,0.072244,0.0726175298147933,
2025-01-25 14:00:00,0.1155,0.1623693333333332,0.1398861879212944,
2025-01-31 21:00:00,0.0711,0.0783593333333334,0.072590481978531,
2025-01-13 04:00:00,0.0483,0.0584953333333333,0.0549424740553834,
2025-01-13 01:00:00,0.4433,0.4505726666666665,0.4509911863351018,
